Mouse ID,Worm ID,Category,Broken(Y/N),Length,Width,Half of Width,Volume(um^3),Volume(cm^3)or (ml),Mass Density (gm/ml),,,
407,6,10 Eggs,Y(Tail),1363.361,26.925,13.4625,776268.8725,7.76269E-07,8.53896E-07,,,
407,7,10 Eggs,N,2103.275,20.748,10.374,711112.6752,7.11113E-07,7.82224E-07,,,
407,8,10 Eggs,N,1540.323,17.137,8.5685,355280.4213,3.5528E-07,3.90808E-07,,,
407,9,10 Eggs,Y (Head),960.436,21.087,10.5435,335419.1915,3.35419E-07,3.68961E-07,,,
407,10,10 Eggs,Y(Head),995.149,16.504,8.252,212890.5688,2.12891E-07,2.3418E-07,,,
407,11,10 Eggs,Y(Head),700.355,19.036,9.518,199323.9602,1.99324E-07,2.19256E-07,,,
407,12,10 Eggs,Y (Head),845.992,12.658,6.329,106459.9653,1.0646E-07,1.17106E-07,,,
408,1,10 Eggs,N,2287.204,22.841,11.4205,937184.3136,9.37184E-07,1.0309E-06,,,
408,2,10 Eggs,N,1017.245,21.71,10.855,376560.7863,3.76561E-07,4.14217E-07,,,
408,3,10 Eggs,N,1518.911,12.403,6.2015,183516.7443,1.83517E-07,2.01868E-07,,,
408,4,10 Eggs,N,1919.621,21.142,10.571,673903.1877,6.73903E-07,7.41294E-07,,,
408,5,10 Eggs,N,1446.213,19.361,9.6805,425772.6027,4.25773E-07,4.6835E-07,,,
408,6,10 Eggs,N,2048.897,17.848,8.924,512612.4177,5.12612E-07,5.63874E-07,,,
408,7,10 Eggs,N,2086.623,20.084,10.042,661049.9807,6.6105E-07,7.27155E-07,,,
408,8,10 Eggs,N,1846.455,19.152,9.576,531932.9284,5.31933E-07,5.85126E-07,,,
409,1,10 Eggs,N,2011.313,17.588,8.794,488655.1227,4.88655E-07,5.37521E-07,,,
409,2,10 Eggs,N,2203.539,22.398,11.199,868218.6356,8.68219E-07,9.5504E-07,,,
409,3,10 Eggs,N,1744.341,17.465,8.7325,417886.6047,4.17887E-07,4.59675E-07,,,
409,4,10 Eggs,N,1927.925,18.74,9.37,531764.3145,5.31764E-07,5.84941E-07,,,
409,5,10 Eggs,N,2463.732,19.165,9.5825,710724.0193,7.10724E-07,7.81796E-07,,,
409,6,10 Eggs,N,2108.164,19.989,9.9945,661570.9247,6.61571E-07,7.27728E-07,,,
409,7,10 Eggs,N,1701.489,19.959,9.9795,532349.1727,5.32349E-07,5.85584E-07,,,
409,8,10 Eggs,N,2400.435,20.033,10.0165,756609.5416,7.5661E-07,8.3227E-07,,,
409,9,10 Eggs,N,1782.1,18.654,9.327,487041.4194,4.87041E-07,5.35746E-07,,,
409,10,10 Eggs,N,2608.74,24.544,12.272,1234273.382,1.23427E-06,1.3577E-06,,,
409,11,10 Eggs,N,1708.882,17.72,8.86,421433.8268,4.21434E-07,4.63577E-07,,,
413,1,10 Eggs,N,2247.309,25.849,12.9245,1179343.087,1.17934E-06,1.29728E-06,,,
413,2,10 Eggs,N,1612.702,20.839,10.4195,550044.4098,5.50044E-07,6.05049E-07,,,
413,3,10 Eggs,N,2169.146,21.241,10.6205,768649.9151,7.6865E-07,8.45515E-07,,,
413,4,10 Eggs,Y(Head+Tail),2110.119,22,11,802125.2562,8.02125E-07,8.82338E-07,,,
413,5,10 Eggs,N,1865.423,19.52,9.76,558247.5621,5.58248E-07,6.14072E-07,,,
413,6,10 Eggs,N,2200.912,23.9,11.95,987389.1749,9.87389E-07,1.08613E-06,,,
413,7,10 Eggs,N,1690.884,22.096,11.048,648382.1027,6.48382E-07,7.1322E-07,,,
413,8,10 Eggs,N,1754.554,20.667,10.3335,588588.1299,5.88588E-07,6.47447E-07,,,
413,9,10 Eggs,N,1962.195,21.93,10.965,741155.455,7.41155E-07,8.15271E-07,,,
413,10,10 Eggs,N,2347.879,20.803,10.4015,798026.9001,7.98027E-07,8.7783E-07,,,
414,1,10 Eggs,N,2526.429,16.19,8.095,520104.5782,5.20105E-07,5.72115E-07,,,
414,2,10 Eggs,N,1981.196,20.561,10.2805,657818.0561,6.57818E-07,7.236E-07,,,
414,3,10 Eggs,N,1856.274,18.841,9.4205,517535.1627,5.17535E-07,5.69289E-07,,,
414,4,10 Eggs,N,1836.366,16.464,8.232,390948.7595,3.90949E-07,4.30044E-07,,,
414,5,10 Eggs,N,2209.545,23.867,11.9335,988526.6874,9.88527E-07,1.08738E-06,,,
414,6,10 Eggs,N,2006.608,20.564,10.282,666450.0596,6.6645E-07,7.33095E-07,,,
414,7,10 Eggs,Y(Head),2830.141,20.951,10.4755,975680.1469,9.7568E-07,1.07325E-06,,,
414,8,10 Eggs,N,1775.844,17.614,8.807,432723.6958,4.32724E-07,4.75996E-07,,,
414,9,10 Eggs,N,2256.378,18.405,9.2025,600306.9641,6.00307E-07,6.60338E-07,,,
414,10,10 Eggs,N,2469.087,20.8633,10.43165,844096.8511,8.44097E-07,9.28507E-07,,,
414,11,10 Eggs,N,2286.532,17.532,8.766,551988.5752,5.51989E-07,6.07187E-07,,,
414,12,10 Eggs,N,2793.313,21.858,10.929,1048166.625,1.04817E-06,1.15298E-06,,,
414,13,10 Eggs,Y(Head),2578.595,18.667,9.3335,705703.1769,7.05703E-07,7.76273E-07,,,
415,1,10 Eggs,N,2443.949,18.823,9.4115,680079.5326,6.8008E-07,7.48087E-07,,,
415,2,10 Eggs,N,2601.052,20.502,10.251,858680.0529,8.5868E-07,9.44548E-07,,,
415,3,10 Eggs,N,1803.564,18.724,9.362,496613.7092,4.96614E-07,5.46275E-07,,,
415,4,10 Eggs,N,1644.453,20.686,10.343,552668.0869,5.52668E-07,6.07935E-07,,,
415,5,10 Eggs,N,1953.229,19.617,9.8085,590348.1808,5.90348E-07,6.49383E-07,,,
415,6,10 Eggs,N,2186.555,17.675,8.8375,536499.2661,5.36499E-07,5.90149E-07,,,
415,7,10 Eggs,N,2319.307,19.802,9.901,714276.2872,7.14276E-07,7.85704E-07,,,
415,8,10 Eggs,Y(Head+Tail),1630.042,14.603,7.3015,273006.4115,2.73006E-07,3.00307E-07,,,
415,9,10 Eggs,N,2270.238,17.95,8.975,574500.1891,5.745E-07,6.3195E-07,,,
415,10,10 Eggs,N,2501.666,20.155,10.0775,798150.5412,7.98151E-07,8.77966E-07,,,
415,11,10 Eggs,N,2107.334,19.687,9.8435,641478.8443,6.41479E-07,7.05627E-07,,,
415,12,10 Eggs,N,1723.754,16.368,8.184,362707.3874,3.62707E-07,3.98978E-07,,,
415,13,10 Eggs,N,2031.808,20.992,10.496,703202.1384,7.03202E-07,7.73522E-07,,,
5951,1,20 Eggs,N,1863.131,22.2366,11.1183,723552.4878,7.23552E-07,7.95908E-07,,,
5951,2,20 Eggs,N,1815.712,21.949,10.9745,687015.1627,6.87015E-07,7.55717E-07,,,
5951,3,20 Eggs,N,1751.834,24.034,12.017,794758.0692,7.94758E-07,8.74234E-07,,,
5951,4,20 Eggs,N,2179.606,21.823,10.9115,815261.2143,8.15261E-07,8.96787E-07,,,
5951,5,20 Eggs,N,1624.304,23.729,11.8645,718316.8728,7.18317E-07,7.90149E-07,,,
5951,6,20 Eggs,N,1756.767,17.521,8.7605,423566.7157,4.23567E-07,4.65923E-07,,,
5951,7,20 Eggs,N,2120.923,25.16,12.58,1054474.439,1.05447E-06,1.15992E-06,,,
5951,8,20 Eggs,N,1679.454,19.902,9.951,522458.0658,5.22458E-07,5.74704E-07,,,
5951,9,20 Eggs,N,1817.188,26.835,13.4175,1027762.91,1.02776E-06,1.13054E-06,,,
5951,10,20 Eggs,N,1925.774,22.376,11.188,757286.3121,7.57286E-07,8.33015E-07,,,
5951,11,20 Eggs,N,2017.884,23.572,11.786,880600.531,8.80601E-07,9.68661E-07,,,
5951,12,20 Eggs,N,1894.196,24.134,12.067,866509.6693,8.6651E-07,9.53161E-07,,,
5951,13,20 Eggs,N,1620.437,20.574,10.287,538715.5398,5.38716E-07,5.92587E-07,,,
5951,14,20 Eggs,N,1708.231,23.411,11.7055,735320.0537,7.3532E-07,8.08852E-07,,,
5951,15,20 Eggs,N,1758.464,20.112,10.056,558642.3857,5.58642E-07,6.14507E-07,,,
5951,16,20 Eggs,N,1496.923,21.362,10.681,536504.2469,5.36504E-07,5.90155E-07,,,
5951,17,20 Eggs,N,1658.795,20.886,10.443,568320.2703,5.6832E-07,6.25152E-07,,,
5951,18,20 Eggs,N,1611.032,22.116,11.058,618881.0869,6.18881E-07,6.80769E-07,,,
5951,19,20 Eggs,N,2128.54,22.518,11.259,847678.8099,8.47679E-07,9.32447E-07,,,
5951,20,20 Eggs,N,1256.684,16.28,8.14,261592.1867,2.61592E-07,2.87751E-07,,,
5951,21,20 Eggs,N,1788.616,21.215,10.6075,632256.1537,6.32256E-07,6.95482E-07,,,
5951,22,20 Eggs,N,2141.774,19.107,9.5535,614113.3391,6.14113E-07,6.75525E-07,,,
5952,1,20 Eggs,N,1734.277,22.03,11.015,661054.613,6.61055E-07,7.2716E-07,,,
5952,2,20 Eggs,N,1777.242,22.75,11.375,722435.7871,7.22436E-07,7.94679E-07,,,
5952,3,20 Eggs,N,1870.034,19.014,9.507,530990.0257,5.3099E-07,5.84089E-07,,,
